time posx posy posz velx vely velz accx accy accz omg1 omg2 omg3 omg4 epot ecin emec 
9.80 8.61 3.92 10.00 -0.71 -1.75 -0.00 -1.23 0.46 0.00 1.57 1.37 1.57 1.77 98.00 1.79 99.78 
9.85 8.57 3.84 10.00 -0.77 -1.73 0.00 -1.21 0.49 0.01 1.57 1.37 1.57 1.77 98.00 1.79 99.79 
9.90 8.53 3.75 10.00 -0.83 -1.70 0.00 -1.19 0.53 0.00 1.37 1.57 1.77 1.57 98.00 1.79 99.79 
9.95 8.49 3.67 10.00 -0.89 -1.67 0.00 -1.16 0.57 0.00 1.57 1.37 1.57 1.77 98.00 1.79 99.79 
10.00 8.44 3.59 10.00 -0.95 -1.64 -0.00 -1.13 0.60 -0.03 1.42 1.52 1.72 1.62 98.00 1.80 99.79 
10.05 8.39 3.51 10.00 -1.00 -1.61 -0.00 -1.11 0.64 0.02 1.57 1.37 1.57 1.77 98.00 1.80 99.80 
10.10 8.33 3.43 10.00 -1.05 -1.58 -0.00 -1.08 0.67 -0.02 1.41 1.52 1.72 1.61 98.00 1.80 99.80 
10.15 8.27 3.36 10.00 -1.11 -1.54 -0.00 -1.05 0.71 0.02 1.57 1.37 1.57 1.77 98.00 1.80 99.80 
10.20 8.22 3.28 10.00 -1.16 -1.51 -0.00 -1.01 0.74 -0.03 1.45 1.48 1.68 1.65 98.00 1.80 99.80 
10.25 8.15 3.21 10.00 -1.21 -1.47 -0.00 -0.98 0.77 0.02 1.77 1.57 1.37 1.57 98.00 1.80 99.80 
10.30 8.09 3.14 10.00 -1.25 -1.43 0.00 -0.95 0.81 0.01 1.57 1.37 1.57 1.77 98.00 1.80 99.80 
10.35 8.02 3.07 10.00 -1.30 -1.38 0.00 -0.91 0.83 0.01 1.57 1.37 1.57 1.77 98.00 1.80 99.80 
10.40 7.96 3.00 10.00 -1.34 -1.34 0.00 -0.87 0.86 0.01 1.57 1.77 1.57 1.37 98.00 1.80 99.80 
10.45 7.89 2.94 10.00 -1.38 -1.30 0.00 -0.84 0.89 0.01 1.77 1.57 1.37 1.57 98.00 1.80 99.80 
10.50 7.81 2.88 10.00 -1.42 -1.25 0.00 -0.80 0.92 0.00 1.57 1.37 1.57 1.77 98.00 1.80 99.80 
10.55 7.74 2.82 10.00 -1.46 -1.20 0.00 -0.77 0.94 -0.03 1.63 1.43 1.50 1.70 98.00 1.80 99.80 
10.60 7.66 2.76 10.00 -1.50 -1.16 0.00 -0.73 0.97 0.02 1.57 1.37 1.57 1.77 98.00 1.79 99.79 
10.65 7.59 2.71 10.00 -1.53 -1.11 0.00 -0.69 0.99 0.01 1.77 1.57 1.37 1.57 98.00 1.79 99.79 
10.70 7.51 2.66 10.00 -1.57 -1.06 0.00 -0.66 1.01 0.01 1.57 1.37 1.57 1.77 98.00 1.79 99.79 
10.75 7.43 2.61 10.00 -1.60 -1.00 0.00 -0.62 1.03 0.00 1.57 1.37 1.57 1.77 98.00 1.78 99.79 
10.80 7.34 2.56 10.00 -1.63 -0.95 0.00 -0.58 1.04 0.00 1.76 1.56 1.36 1.56 98.00 1.78 99.78 
10.85 7.26 2.52 10.00 -1.65 -0.90 0.00 -0.54 1.06 0.00 1.56 1.36 1.56 1.76 98.01 1.77 99.78 
10.90 7.18 2.48 10.00 -1.68 -0.85 0.00 -0.50 1.07 0.00 1.56 1.36 1.56 1.76 98.01 1.77 99.78 
10.95 7.09 2.44 10.00 -1.70 -0.79 0.00 -0.46 1.08 0.00 1.76 1.56 1.36 1.56 98.01 1.76 99.77 
11.00 7.00 2.41 10.00 -1.72 -0.74 0.00 -0.42 1.09 0.00 1.56 1.36 1.56 1.76 98.01 1.76 99.77 
11.05 6.92 2.37 10.00 -1.74 -0.68 0.00 -0.38 1.10 0.00 1.56 1.76 1.56 1.36 98.01 1.75 99.76 
11.10 6.83 2.34 10.00 -1.76 -0.63 0.00 -0.34 1.11 -0.00 1.76 1.56 1.36 1.56 98.01 1.75 99.76 
11.15 6.74 2.32 10.00 -1.78 -0.57 0.00 -0.31 1.11 -0.00 1.56 1.36 1.56 1.76 98.01 1.74 99.75 
11.20 6.65 2.29 10.00 -1.79 -0.52 0.00 -0.27 1.12 -0.00 1.76 1.56 1.36 1.56 98.01 1.73 99.75 
11.25 6.56 2.27 10.00 -1.80 -0.46 0.00 -0.23 1.12 -0.00 1.56 1.36 1.56 1.76 98.02 1.73 99.74 
11.30 6.47 2.25 10.00 -1.81 -0.40 0.00 -0.19 1.12 -0.00 1.76 1.56 1.36 1.56 98.02 1.72 99.74 
11.35 6.38 2.23 10.00 -1.82 -0.35 0.00 -0.15 1.12 -0.00 1.56 1.36 1.56 1.76 98.02 1.71 99.73 
11.40 6.28 2.22 10.00 -1.82 -0.29 0.00 -0.11 1.12 -0.00 1.56 1.36 1.56 1.76 98.02 1.70 99.72 
11.45 6.19 2.21 10.00 -1.83 -0.24 0.00 -0.07 1.11 -0.00 1.56 1.76 1.56 1.36 98.02 1.70 99.72 
11.50 6.10 2.20 10.00 -1.83 -0.18 0.00 -0.03 1.11 -0.00 1.76 1.56 1.36 1.56 98.02 1.69 99.71 
11.55 6.01 2.20 10.00 -1.83 -0.12 0.00 0.01 1.11 -0.00 1.56 1.36 1.56 1.76 98.02 1.68 99.70 
11.60 5.92 2.20 10.00 -1.83 -0.07 0.00 0.05 1.10 -0.03 1.72 1.61 1.41 1.52 98.02 1.67 99.69 
11.65 5.83 2.20 10.00 -1.82 -0.02 0.00 0.08 1.09 0.01 1.76 1.56 1.36 1.56 98.02 1.66 99.68 
11.70 5.74 2.20 10.00 -1.82 0.04 0.00 0.12 1.08 0.00 1.56 1.36 1.56 1.76 98.02 1.65 99.67 
11.75 5.65 2.21 10.00 -1.81 0.09 0.00 0.16 1.07 0.00 1.56 1.76 1.56 1.36 98.02 1.64 99.66 
11.80 5.56 2.22 10.00 -1.80 0.15 0.00 0.19 1.07 0.00 1.76 1.56 1.36 1.56 98.02 1.63 99.65 
11.85 5.47 2.23 10.00 -1.79 0.20 0.00 0.22 1.05 0.00 1.56 1.36 1.56 1.76 98.02 1.62 99.64 
11.90 5.38 2.24 10.00 -1.77 0.25 0.00 0.26 1.04 0.00 1.76 1.56 1.36 1.56 98.03 1.60 99.63 
11.95 5.29 2.26 10.00 -1.76 0.30 0.00 0.29 1.03 0.00 1.56 1.36 1.56 1.76 98.03 1.59 99.62 
12.00 5.21 2.28 10.00 -1.74 0.35 0.00 0.33 1.01 0.00 1.56 1.76 1.56 1.36 98.03 1.58 99.61 
12.05 5.12 2.30 10.00 -1.72 0.40 0.00 0.36 0.99 -0.00 1.76 1.56 1.36 1.56 98.03 1.57 99.60 
12.10 5.04 2.32 10.00 -1.70 0.45 0.00 0.39 0.98 -0.00 1.76 1.56 1.36 1.56 98.03 1.55 99.58 
12.15 4.95 2.35 10.00 -1.68 0.50 0.00 0.42 0.96 -0.00 1.56 1.36 1.56 1.76 98.03 1.54 99.57 
12.20 4.87 2.38 10.00 -1.66 0.55 0.00 0.46 0.94 -0.00 1.56 1.76 1.56 1.36 98.03 1.53 99.56 
12.25 4.79 2.41 10.00 -1.64 0.59 0.00 0.49 0.92 -0.00 1.76 1.56 1.36 1.56 98.03 1.51 99.54 
12.30 4.71 2.44 10.00 -1.61 0.64 0.00 0.51 0.90 -0.00 1.76 1.56 1.36 1.56 98.03 1.50 99.53 
12.35 4.63 2.47 10.00 -1.58 0.68 0.00 0.54 0.88 -0.00 1.56 1.36 1.56 1.76 98.03 1.49 99.52 
12.40 4.55 2.51 10.00 -1.56 0.72 0.00 0.57 0.85 -0.00 1.56 1.76 1.56 1.36 98.03 1.47 99.50 
12.45 4.48 2.55 10.00 -1.53 0.76 0.00 0.59 0.83 -0.00 1.76 1.56 1.36 1.56 98.03 1.46 99.49 
12.50 4.40 2.59 10.00 -1.49 0.81 0.00 0.62 0.81 -0.00 1.56 1.36 1.56 1.76 98.03 1.44 99.48 
12.55 4.33 2.64 10.00 -1.46 0.84 0.00 0.64 0.78 -0.00 1.56 1.76 1.56 1.36 98.04 1.43 99.46 
12.60 4.26 2.68 10.00 -1.43 0.88 0.00 0.67 0.76 -0.00 1.76 1.56 1.36 1.56 98.04 1.41 99.45 
12.65 4.19 2.73 10.00 -1.40 0.92 -0.00 0.68 0.73 -0.05 1.55 1.68 1.58 1.45 98.03 1.40 99.43 
12.70 4.12 2.78 10.00 -1.36 0.95 -0.00 0.71 0.71 0.02 1.76 1.56 1.36 1.56 98.03 1.38 99.41 
12.75 4.06 2.83 10.00 -1.32 0.99 0.00 0.73 0.68 0.01 1.56 1.36 1.56 1.76 98.03 1.36 99.40 
12.80 4.00 2.88 10.00 -1.29 1.02 0.00 0.75 0.65 0.01 1.56 1.76 1.56 1.36 98.04 1.35 99.38 
12.85 3.93 2.93 10.00 -1.25 1.05 0.00 0.77 0.62 0.01 1.76 1.56 1.36 1.56 98.04 1.33 99.37 
12.90 3.87 2.99 10.00 -1.21 1.08 0.00 0.79 0.60 0.00 1.56 1.76 1.56 1.36 98.04 1.31 99.35 
12.95 3.82 3.04 10.00 -1.17 1.11 0.00 0.80 0.57 0.00 1.76 1.56 1.36 1.56 98.04 1.30 99.33 
13.00 3.76 3.10 10.00 -1.13 1.14 0.00 0.81 0.54 0.00 1.56 1.36 1.56 1.76 98.04 1.28 99.32 
13.05 3.71 3.16 10.00 -1.09 1.16 0.00 0.83 0.51 0.00 1.56 1.76 1.56 1.36 98.04 1.27 99.30 
13.10 3.66 3.22 10.00 -1.04 1.19 0.00 0.84 0.48 0.00 1.76 1.56 1.36 1.56 98.04 1.25 99.29 
13.15 3.61 3.28 10.00 -1.00 1.21 0.00 0.85 0.45 0.00 1.36 1.56 1.76 1.56 98.04 1.23 99.27 
13.20 3.56 3.34 10.00 -0.96 1.23 0.00 0.87 0.42 0.00 1.56 1.76 1.56 1.36 98.04 1.22 99.26 
13.25 3.52 3.40 10.00 -0.91 1.25 0.00 0.88 0.40 -0.00 1.76 1.56 1.36 1.56 98.04 1.20 99.24 
13.30 3.47 3.47 10.00 -0.87 1.27 0.00 0.89 0.37 -0.00 1.56 1.76 1.56 1.36 98.04 1.18 99.22 
13.35 3.43 3.53 10.00 -0.83 1.29 0.00 0.89 0.34 -0.00 1.76 1.56 1.36 1.56 98.04 1.17 99.21 
13.40 3.40 3.60 10.00 -0.78 1.30 0.00 0.90 0.31 -0.00 1.76 1.56 1.36 1.56 98.04 1.15 99.19 
13.45 3.36 3.66 10.00 -0.74 1.32 0.00 0.90 0.28 -0.00 1.56 1.36 1.56 1.76 98.04 1.13 99.18 
13.50 3.33 3.73 10.00 -0.69 1.33 0.00 0.91 0.25 -0.00 1.56 1.76 1.56 1.36 98.04 1.12 99.16 
13.55 3.30 3.80 10.00 -0.64 1.34 0.00 0.91 0.22 -0.00 1.56 1.76 1.56 1.36 98.04 1.10 99.15 
13.60 3.27 3.87 10.00 -0.60 1.35 0.00 0.91 0.19 -0.00 1.76 1.56 1.36 1.56 98.04 1.09 99.13 
13.65 3.24 3.93 10.00 -0.55 1.36 0.00 0.91 0.16 -0.01 1.38 1.54 1.74 1.58 98.04 1.07 99.12 
13.70 3.22 4.00 10.00 -0.51 1.36 0.00 0.92 0.13 0.00 1.56 1.76 1.56 1.36 98.05 1.06 99.10 
13.75 3.19 4.07 10.00 -0.46 1.37 0.00 0.92 0.11 0.00 1.76 1.56 1.36 1.56 98.05 1.04 99.09 
13.80 3.18 4.14 10.00 -0.42 1.37 -0.00 0.91 0.08 -0.04 1.68 1.64 1.44 1.48 98.04 1.03 99.07 
13.85 3.16 4.21 10.00 -0.37 1.37 -0.00 0.91 0.05 -0.01 1.71 1.51 1.41 1.61 98.04 1.01 99.06 
13.90 3.14 4.28 10.00 -0.32 1.38 -0.00 0.91 0.02 0.02 1.36 1.56 1.76 1.56 98.04 1.00 99.04 
13.95 3.13 4.35 10.00 -0.28 1.38 -0.00 0.91 -0.01 0.01 1.56 1.76 1.56 1.36 98.04 0.98 99.03 
14.00 3.12 4.41 10.00 -0.23 1.37 0.00 0.90 -0.04 0.01 1.76 1.56 1.36 1.56 98.04 0.97 99.01 
14.05 3.11 4.48 10.00 -0.19 1.37 0.00 0.89 -0.07 0.01 1.36 1.56 1.76 1.56 98.04 0.96 99.00 
14.10 3.11 4.55 10.00 -0.14 1.37 0.00 0.89 -0.09 0.01 1.56 1.76 1.56 1.36 98.04 0.94 98.99 
14.15 3.10 4.62 10.00 -0.10 1.36 0.00 0.88 -0.12 0.00 1.76 1.56 1.36 1.56 98.05 0.93 98.97 
14.20 3.10 4.69 10.00 -0.06 1.35 0.00 0.87 -0.14 0.00 1.56 1.76 1.56 1.36 98.05 0.92 98.96 
14.25 3.10 4.75 10.00 -0.01 1.34 0.00 0.86 -0.17 0.00 1.76 1.56 1.36 1.56 98.05 0.90 98.95 
14.30 3.10 4.82 10.00 0.03 1.33 0.00 0.85 -0.20 0.00 1.36 1.56 1.76 1.56 98.05 0.89 98.94 
14.35 3.11 4.89 10.00 0.07 1.32 0.00 0.84 -0.22 0.00 1.56 1.76 1.56 1.36 98.05 0.88 98.93 
14.40 3.11 4.95 10.00 0.11 1.31 0.00 0.83 -0.24 0.00 1.76 1.56 1.36 1.56 98.05 0.87 98.91 
14.45 3.12 5.02 10.01 0.15 1.30 0.00 0.81 -0.27 0.00 1.36 1.56 1.76 1.56 98.05 0.85 98.90 
14.50 3.13 5.08 10.01 0.19 1.28 0.00 0.80 -0.29 0.00 1.56 1.76 1.56 1.36 98.05 0.84 98.89 
14.55 3.15 5.14 10.01 0.23 1.27 0.00 0.79 -0.31 -0.00 1.76 1.56 1.36 1.56 98.05 0.83 98.88 
14.60 3.16 5.20 10.01 0.27 1.25 0.00 0.77 -0.33 -0.00 1.36 1.56 1.76 1.56 98.05 0.82 98.87 
14.65 3.18 5.27 10.01 0.31 1.23 0.00 0.76 -0.36 -0.00 1.56 1.76 1.56 1.36 98.05 0.81 98.86 
14.70 3.19 5.33 10.01 0.35 1.21 0.00 0.74 -0.37 -0.00 1.76 1.56 1.36 1.56 98.05 0.80 98.85 
14.75 3.21 5.39 10.01 0.38 1.20 -0.00 0.72 -0.39 -0.04 1.49 1.43 1.63 1.69 98.05 0.79 98.84 
14.80 3.24 5.44 10.01 0.42 1.17 0.00 0.71 -0.42 0.01 1.56 1.76 1.56 1.36 98.05 0.78 98.83 
14.85 3.26 5.50 10.01 0.45 1.15 0.00 0.69 -0.44 0.00 1.76 1.56 1.36 1.56 98.05 0.77 98.82 
14.90 3.28 5.56 10.01 0.48 1.13 0.00 0.67 -0.46 0.00 1.36 1.56 1.76 1.56 98.05 0.76 98.81 
14.95 3.31 5.61 10.01 0.52 1.11 0.00 0.65 -0.48 0.00 1.56 1.76 1.56 1.36 98.05 0.74 98.80 
15.00 3.34 5.66 10.01 0.55 1.08 0.00 0.63 -0.50 -0.00 1.55 1.37 1.57 1.75 98.05 0.73 98.79 
15.05 3.37 5.72 10.01 0.58 1.05 0.00 0.62 -0.52 0.00 1.36 1.56 1.76 1.56 98.06 0.72 98.78 
15.10 3.40 5.77 10.01 0.61 1.03 0.00 0.60 -0.53 0.00 1.56 1.76 1.56 1.36 98.06 0.71 98.77 
15.15 3.43 5.82 10.01 0.64 1.00 0.00 0.58 -0.55 0.00 1.56 1.76 1.56 1.36 98.06 0.70 98.76 
15.20 3.47 5.86 10.01 0.67 0.97 0.00 0.56 -0.56 0.00 1.56 1.76 1.56 1.36 98.06 0.70 98.75 
15.25 3.50 5.91 10.01 0.69 0.94 0.00 0.54 -0.57 0.00 1.76 1.56 1.36 1.56 98.06 0.69 98.74 
15.30 3.54 5.96 10.01 0.72 0.91 0.00 0.52 -0.59 0.00 1.36 1.56 1.76 1.56 98.06 0.68 98.74 
15.35 3.58 6.00 10.01 0.75 0.88 0.00 0.50 -0.60 0.00 1.56 1.76 1.56 1.36 98.06 0.67 98.73 
15.40 3.62 6.04 10.01 0.77 0.85 0.00 0.47 -0.61 0.00 1.76 1.56 1.36 1.56 98.06 0.66 98.72 
15.45 3.66 6.08 10.01 0.79 0.82 0.00 0.45 -0.62 0.00 1.36 1.56 1.76 1.56 98.06 0.65 98.71 
15.50 3.70 6.12 10.01 0.81 0.79 0.00 0.42 -0.63 -0.00 1.56 1.76 1.56 1.36 98.06 0.64 98.70 
15.55 3.74 6.16 10.01 0.83 0.76 0.00 0.40 -0.64 0.00 1.56 1.36 1.56 1.76 98.06 0.63 98.70 
15.60 3.78 6.19 10.01 0.85 0.73 0.00 0.38 -0.65 -0.00 1.36 1.56 1.76 1.56 98.06 0.63 98.69 
15.65 3.83 6.23 10.01 0.87 0.69 0.00 0.36 -0.66 -0.00 1.56 1.76 1.56 1.36 98.06 0.62 98.68 
15.70 3.87 6.26 10.01 0.89 0.66 0.00 0.33 -0.66 -0.00 1.56 1.36 1.56 1.76 98.06 0.61 98.67 
15.75 3.92 6.29 10.01 0.90 0.63 0.00 0.31 -0.67 -0.00 1.36 1.56 1.76 1.56 98.06 0.60 98.67 
15.80 3.96 6.32 10.01 0.92 0.59 0.00 0.29 -0.68 -0.00 1.56 1.76 1.56 1.36 98.06 0.60 98.66 
15.85 4.01 6.35 10.01 0.93 0.56 0.00 0.27 -0.68 -0.00 1.56 1.76 1.56 1.36 98.06 0.59 98.65 
15.90 4.06 6.37 10.01 0.94 0.52 0.00 0.25 -0.68 -0.00 1.76 1.56 1.36 1.56 98.07 0.58 98.65 
15.95 4.11 6.39 10.01 0.95 0.49 0.00 0.22 -0.69 -0.00 1.36 1.56 1.76 1.56 98.07 0.57 98.64 
16.00 4.15 6.42 10.01 0.96 0.46 0.00 0.20 -0.69 -0.00 1.56 1.76 1.56 1.36 98.07 0.57 98.63 
16.05 4.20 6.44 10.01 0.97 0.42 0.00 0.17 -0.69 -0.00 1.56 1.36 1.56 1.76 98.07 0.56 98.63 
16.10 4.25 6.46 10.01 0.98 0.39 0.00 0.15 -0.70 -0.00 1.36 1.56 1.76 1.56 98.07 0.55 98.62 
16.15 4.30 6.47 10.01 0.99 0.35 0.00 0.13 -0.70 -0.00 1.56 1.76 1.56 1.36 98.07 0.55 98.62 
16.20 4.35 6.49 10.01 0.99 0.32 0.00 0.11 -0.69 -0.00 1.56 1.36 1.56 1.76 98.07 0.54 98.61 
16.25 4.40 6.50 10.01 1.00 0.28 0.00 0.09 -0.70 -0.00 1.36 1.56 1.76 1.56 98.07 0.54 98.60 
16.30 4.45 6.51 10.01 1.00 0.25 0.00 0.07 -0.69 -0.00 1.56 1.76 1.56 1.36 98.07 0.53 98.60 
16.35 4.50 6.52 10.01 1.00 0.21 0.00 0.05 -0.69 -0.00 1.56 1.76 1.56 1.36 98.07 0.52 98.59 
16.40 4.55 6.53 10.01 1.00 0.18 0.00 0.02 -0.68 -0.00 1.56 1.36 1.56 1.76 98.07 0.52 98.59 
16.45 4.60 6.54 10.01 1.00 0.14 0.00 0.00 -0.68 -0.00 1.36 1.56 1.76 1.56 98.07 0.51 98.58 
16.50 4.65 6.54 10.01 1.00 0.11 0.00 -0.02 -0.68 -0.00 1.56 1.76 1.56 1.36 98.07 0.51 98.58 
16.55 4.70 6.54 10.01 1.00 0.08 0.00 -0.04 -0.67 -0.00 1.76 1.56 1.36 1.56 98.07 0.50 98.57 
16.60 4.75 6.55 10.01 1.00 0.04 0.00 -0.06 -0.67 -0.00 1.36 1.56 1.76 1.56 98.07 0.50 98.57 
16.65 4.80 6.54 10.01 0.99 0.01 0.00 -0.08 -0.66 -0.00 1.56 1.76 1.56 1.36 98.07 0.49 98.56 
16.70 4.85 6.54 10.01 0.99 -0.02 0.00 -0.11 -0.65 -0.00 1.56 1.36 1.56 1.76 98.07 0.49 98.56 
16.75 4.90 6.54 10.01 0.98 -0.05 0.00 -0.13 -0.64 -0.00 1.36 1.56 1.76 1.56 98.07 0.48 98.55 
16.80 4.95 6.53 10.01 0.97 -0.08 0.00 -0.15 -0.63 -0.00 1.56 1.76 1.56 1.36 98.07 0.48 98.55 
16.85 4.99 6.53 10.01 0.96 -0.12 0.00 -0.17 -0.62 -0.00 1.56 1.36 1.56 1.76 98.07 0.47 98.55 
16.90 5.04 6.52 10.01 0.96 -0.15 0.00 -0.19 -0.61 -0.00 1.36 1.56 1.76 1.56 98.07 0.47 98.54 
16.95 5.09 6.51 10.01 0.95 -0.18 0.00 -0.20 -0.60 -0.00 1.56 1.76 1.56 1.36 98.07 0.46 98.54 
17.00 5.14 6.50 10.01 0.93 -0.21 0.00 -0.22 -0.59 -0.00 1.56 1.36 1.56 1.76 98.07 0.46 98.53 
17.05 5.18 6.49 10.01 0.92 -0.24 0.00 -0.24 -0.58 -0.00 1.36 1.56 1.76 1.56 98.07 0.45 98.53 
17.10 5.23 6.47 10.01 0.91 -0.26 0.00 -0.25 -0.57 -0.00 1.56 1.76 1.56 1.36 98.07 0.45 98.52 
17.15 5.27 6.46 10.01 0.90 -0.29 0.00 -0.27 -0.55 0.00 1.76 1.56 1.36 1.56 98.07 0.44 98.52 
17.20 5.31 6.44 10.01 0.88 -0.32 0.00 -0.29 -0.54 -0.00 1.56 1.36 1.56 1.76 98.08 0.44 98.51 
17.25 5.36 6.42 10.01 0.87 -0.34 0.00 -0.31 -0.53 -0.00 1.36 1.56 1.76 1.56 98.08 0.43 98.51 
17.30 5.40 6.40 10.01 0.85 -0.37 0.00 -0.32 -0.52 -0.00 1.36 1.56 1.76 1.56 98.08 0.43 98.51 
17.35 5.44 6.38 10.01 0.83 -0.40 0.00 -0.34 -0.50 -0.00 1.56 1.76 1.56 1.36 98.08 0.42 98.50 
17.40 5.48 6.36 10.01 0.82 -0.42 0.00 -0.35 -0.49 -0.00 1.56 1.36 1.56 1.76 98.08 0.42 98.50 
17.45 5.52 6.34 10.01 0.80 -0.44 0.00 -0.37 -0.47 -0.00 1.36 1.56 1.76 1.56 98.08 0.42 98.49 
17.50 5.56 6.32 10.01 0.78 -0.47 -0.00 -0.38 -0.45 -0.03 1.61 1.71 1.51 1.41 98.08 0.41 98.49 
17.55 5.60 6.29 10.01 0.76 -0.49 -0.00 -0.39 -0.44 0.01 1.56 1.36 1.56 1.76 98.08 0.41 98.48 
17.60 5.63 6.26 10.01 0.74 -0.51 -0.00 -0.40 -0.42 0.00 1.36 1.56 1.76 1.56 98.08 0.40 98.48 
17.65 5.67 6.24 10.01 0.72 -0.53 0.00 -0.41 -0.41 0.00 1.76 1.56 1.36 1.56 98.08 0.40 98.47 
17.70 5.70 6.21 10.01 0.70 -0.55 0.00 -0.42 -0.39 0.00 1.56 1.36 1.56 1.76 98.08 0.39 98.47 
17.75 5.74 6.18 10.01 0.67 -0.57 0.00 -0.43 -0.38 0.00 1.36 1.56 1.76 1.56 98.08 0.39 98.47 
17.80 5.77 6.15 10.01 0.65 -0.59 0.00 -0.44 -0.36 0.00 1.56 1.76 1.56 1.36 98.08 0.38 98.46 
17.85 5.80 6.12 10.01 0.63 -0.60 0.00 -0.45 -0.34 0.00 1.56 1.36 1.56 1.76 98.08 0.38 98.46 
17.90 5.83 6.09 10.01 0.61 -0.62 0.00 -0.46 -0.33 0.00 1.36 1.56 1.76 1.56 98.08 0.38 98.45 
17.95 5.86 6.06 10.01 0.58 -0.64 0.00 -0.46 -0.31 0.00 1.56 1.76 1.56 1.36 98.08 0.37 98.45 
18.00 5.88 6.02 10.01 0.56 -0.65 0.00 -0.47 -0.29 0.00 1.76 1.56 1.36 1.56 98.08 0.37 98.45 
18.05 5.91 5.99 10.01 0.54 -0.66 0.00 -0.48 -0.28 0.00 1.56 1.36 1.56 1.76 98.08 0.36 98.44 
18.10 5.94 5.96 10.01 0.51 -0.68 0.00 -0.49 -0.26 -0.00 1.36 1.56 1.76 1.56 98.08 0.36 98.44 
18.15 5.96 5.92 10.01 0.49 -0.69 0.00 -0.49 -0.24 -0.00 1.56 1.36 1.56 1.76 98.08 0.36 98.44 
18.20 5.98 5.89 10.01 0.46 -0.70 0.00 -0.50 -0.23 -0.00 1.36 1.56 1.76 1.56 98.08 0.35 98.43 
18.25 6.00 5.85 10.01 0.44 -0.71 0.00 -0.50 -0.21 -0.00 1.56 1.76 1.56 1.36 98.08 0.35 98.43 
18.30 6.02 5.81 10.01 0.41 -0.72 -0.00 -0.50 -0.19 -0.04 1.66 1.46 1.46 1.66 98.08 0.34 98.42 
18.35 6.04 5.78 10.01 0.39 -0.73 -0.00 -0.51 -0.18 0.02 1.56 1.36 1.56 1.76 98.08 0.34 98.42 
18.40 6.06 5.74 10.01 0.36 -0.74 -0.00 -0.51 -0.16 0.01 1.36 1.56 1.76 1.56 98.08 0.34 98.42 
18.45 6.08 5.70 10.01 0.34 -0.74 -0.00 -0.51 -0.14 0.01 1.56 1.76 1.56 1.36 98.08 0.33 98.41 
18.50 6.09 5.67 10.01 0.31 -0.75 0.00 -0.51 -0.12 0.00 1.56 1.36 1.56 1.76 98.08 0.33 98.41 
18.55 6.10 5.63 10.01 0.28 -0.76 0.00 -0.51 -0.11 0.00 1.36 1.56 1.76 1.56 98.08 0.33 98.41 
18.60 6.12 5.59 10.01 0.26 -0.76 0.00 -0.51 -0.09 0.00 1.76 1.56 1.36 1.56 98.08 0.32 98.40 
18.65 6.13 5.55 10.01 0.23 -0.76 0.00 -0.51 -0.07 0.00 1.56 1.36 1.56 1.76 98.08 0.32 98.40 
18.70 6.14 5.51 10.01 0.21 -0.77 0.00 -0.51 -0.06 0.00 1.36 1.56 1.76 1.56 98.08 0.32 98.40 
18.75 6.15 5.47 10.01 0.18 -0.77 0.00 -0.51 -0.04 0.00 1.56 1.76 1.56 1.36 98.08 0.31 98.39 
18.80 6.15 5.44 10.01 0.16 -0.77 0.00 -0.50 -0.02 0.00 1.76 1.56 1.36 1.56 98.08 0.31 98.39 
18.85 6.16 5.40 10.01 0.13 -0.77 0.00 -0.51 -0.00 0.00 1.56 1.36 1.56 1.76 98.08 0.31 98.39 
18.90 6.16 5.36 10.01 0.11 -0.77 0.00 -0.50 0.01 -0.00 1.36 1.56 1.76 1.56 98.08 0.30 98.38 
18.95 6.17 5.32 10.01 0.08 -0.77 0.00 -0.50 0.03 -0.00 1.76 1.56 1.36 1.56 98.08 0.30 98.38 
19.00 6.17 5.28 10.01 0.06 -0.77 0.00 -0.50 0.04 -0.00 1.56 1.36 1.56 1.76 98.08 0.29 98.38 
19.05 6.17 5.24 10.01 0.03 -0.76 0.00 -0.50 0.06 -0.00 1.36 1.56 1.76 1.56 98.08 0.29 98.37 
19.10 6.17 5.21 10.01 0.01 -0.76 0.00 -0.49 0.07 -0.00 1.75 1.57 1.37 1.55 98.08 0.29 98.37 
19.15 6.17 5.17 10.01 -0.02 -0.76 0.00 -0.49 0.08 0.00 1.56 1.36 1.56 1.76 98.08 0.29 98.37 
19.20 6.17 5.13 10.01 -0.04 -0.75 0.00 -0.48 0.10 0.00 1.36 1.56 1.76 1.56 98.08 0.28 98.37 
19.25 6.16 5.09 10.01 -0.06 -0.74 0.00 -0.47 0.11 0.00 1.56 1.76 1.56 1.36 98.08 0.28 98.36 
19.30 6.16 5.06 10.01 -0.09 -0.74 0.00 -0.47 0.13 -0.00 1.56 1.36 1.56 1.76 98.08 0.28 98.36 
19.35 6.15 5.02 10.01 -0.11 -0.73 0.00 -0.46 0.14 -0.00 1.36 1.56 1.76 1.56 98.08 0.27 98.36 
19.40 6.14 4.98 10.01 -0.13 -0.72 0.00 -0.45 0.15 -0.00 1.76 1.56 1.36 1.56 98.08 0.27 98.36 
19.45 6.14 4.95 10.01 -0.16 -0.72 0.00 -0.44 0.17 -0.00 1.56 1.36 1.56 1.76 98.08 0.27 98.35 
